language,created_at,watchers_sum,forks_sum,count
XQuery,2011-02-17,44,28,4
Visual Basic,2012-03-29,2,2,2
Powershell,2011-12-02,2,2,2
ASP,2010-04-30,1,1,1
Visual Basic,2012-03-16,44,44,44
Coq,2011-10-16,1,1,1
HaXe,2010-08-26,155,24,8
Smalltalk,2012-02-22,2,2,2
Powershell,2011-10-26,8,16,8
Visual Basic,2012-03-13,31,31,31
Elixir,2012-03-27,1,0,1
Powershell,2011-01-12,0,1,1
Arduino,2012-03-07,25,25,25
Pure Data,2012-01-20,2,2,2
Visual Basic,2011-12-13,257,66,10
FORTRAN,2011-06-27,127,4,27
Smalltalk,2012-03-12,3,0,3
PowerShell,2011-11-16,2,2,2
FORTRAN,2012-03-12,79,71,76
Delphi,2011-12-27,21,7,4
Vala,2012-03-19,1,1,1
HaXe,2011-07-21,3557,78,39
F#,2010-08-18,12,4,1
FORTRAN,2011-06-26,75,50,25
AutoHotkey,2011-01-24,125,24,6
PowerShell,2011-11-18,1,1,1
Delphi,2009-09-24,1,1,1
Prolog,2012-03-14,12,12,10
Rust,2012-02-29,9,9,9
Vala,2012-03-16,3,3,3
Objective-J,2011-08-11,28,18,2
Vala,2012-01-10,30,15,15
HaXe,2012-02-03,2,2,2
F#,2011-11-26,5,0,3
Objective-J,2011-03-14,8,2,1
Racket,2012-03-26,4,2,2
Boo,2010-05-08,28,8,1
Rust,2011-09-09,1,0,1
Objective-J,2012-03-04,134,23,13
Coq,2012-03-28,4,4,4
Tcl,2010-08-04,6,2,2
FORTRAN,2011-05-14,9,8,1
AutoHotkey,2012-03-08,120,43,43
Arduino,2012-01-03,6,3,3
Arduino,2012-02-23,9,8,8
Arduino,2012-03-23,30,19,28
Io,2011-10-30,22,4,1
HaXe,2012-02-26,27,27,27
Visual Basic,2012-03-30,3,2,3
Smalltalk,2011-10-06,7,7,7
HaXe,2011-08-07,213,12,4
VHDL,2012-03-09,14,12,13
Racket,2012-03-22,3,3,3
F#,2010-12-08,11,2,1
Vala,2012-03-06,3,1,3
VHDL,2012-03-17,2,1,1
VHDL,2012-03-12,13,13,13
Factor,2012-03-24,1,1,1
Ada,2012-01-22,41,41,41
XQuery,2012-01-14,31,31,31
HaXe,2012-02-24,4,4,4
Vala,2012-02-15,18,18,18
VHDL,2012-02-08,15,15,15
Arduino,2011-12-10,5,1,1
Verilog,2012-01-25,36,18,18
Prolog,2011-09-30,6,6,6
Coq,2011-07-27,15,0,15
Arduino,2012-03-31,3,3,3
Modelica,2012-02-13,2,0,1
FORTRAN,2012-02-10,4,4,4
Standard ML,2012-01-16,13,13,13
