"","language","created_at","watchers_sum","forks_sum","count","all_watchers","all_forks","fork_day_ratio","watchers_day_ratio","year","month"
"1","Java","2012-01-28",2434,1087,821,369785,35065,0.0309995722230144,0.00658220317211353,2012,1
"2","Java","2012-02-29",2816,1485,1237,77263,16322,0.0909814973655189,0.036446940967863,2012,2
"3","Java","2011-09-25",2680,874,205,73110,15583,0.0560867612141436,0.0366570920530707,2011,9
"4","Java","2011-02-22",5998,1780,77,72001,17592,0.101182355616189,0.0833043985500201,2011,2
"5","Java","2010-04-04",14,2,1,2692,481,0.00415800415800416,0.00520059435364042,2010,4
"6","Java","2011-12-26",1076,584,157,6000,2586,0.225831399845321,0.179333333333333,2011,12
"7","Java","2011-11-30",1451,715,374,595179,97375,0.00734274711168164,0.00243792203689982,2011,11
"8","Java","2009-06-19",18,11,3,8314,2008,0.00547808764940239,0.002165022853019,2009,6
"9","Java","2009-05-28",448,180,5,2243116,650029,0.000276910722444691,0.000199722172192611,2009,5
"10","Java","2010-12-06",609,185,46,367150,51501,0.00359216325896585,0.00165872259294566,2010,12
"11","Java","2010-02-14",52,13,3,15155,6253,0.00207900207900208,0.00343121082151105,2010,2
"12","Java","2011-01-15",9385,6002,145,53759,12032,0.498836436170213,0.174575419929686,2011,1
"13","Java","2010-11-13",56,9,17,10332,959,0.00938477580813347,0.00542005420054201,2010,11
"14","Java","2011-08-22",391,193,164,153593,18849,0.0102392699877978,0.00254568893113618,2011,8
"15","Java","2010-04-09",814,128,13,23508,4697,0.0272514370875027,0.034626510124213,2010,4
"16","Java","2010-01-14",293,65,9,27524,7197,0.00903154091982771,0.0106452550501381,2010,1
"17","Java","2011-08-27",591,189,44,1740667,129028,0.00146479833834517,0.000339525021155683,2011,8
"18","Java","2011-05-14",376,173,54,29835,6028,0.028699402786994,0.0126026478967655,2011,5
"19","Java","2012-01-08",8806,2560,632,90416,11986,0.213582512931754,0.0973942665015042,2012,1
"20","Java","2011-07-30",411,161,151,12631,2733,0.0589096231247713,0.0325389913704378,2011,7
"21","Java","2011-09-27",8131,1460,257,56352,8508,0.171603196991067,0.144289466212379,2011,9
"22","Java","2009-11-26",266,34,3,4128,777,0.0437580437580438,0.064437984496124,2009,11
"23","Java","2010-07-04",24941,14287,151,52672,19514,0.732141026955007,0.473515340218712,2010,7
"24","Java","2011-08-30",1097,516,173,101464,13215,0.0390465380249716,0.0108117164708665,2011,8
"25","Java","2009-02-10",3772,320,32,6359,1269,0.252167060677699,0.59317502752005,2009,2
"26","Java","2010-05-16",8,2,1,76077,12787,0.000156408852741065,0.000105156617637394,2010,5
"27","Java","2010-04-24",4399,349,15,18883,2324,0.150172117039587,0.232960864269449,2010,4
"28","Java","2011-02-28",10259,1947,106,616048,62948,0.0309302916693144,0.0166529231488455,2011,2
"29","Java","2011-10-02",10141,1712,246,2067995,238603,0.00717509838518376,0.00490378361649811,2011,10
"30","Java","2012-01-17",2447,1494,827,55513,20561,0.0726618355138369,0.0440797651000666,2012,1
"31","Java","2011-01-21",2015,783,78,365901,45915,0.0170532505717086,0.00550695406681042,2011,1
"32","Java","2010-05-07",30,1,1,82192,12205,8.19336337566571e-05,0.000364999026669262,2010,5
"33","Java","2010-06-03",61,56,8,1422357,449971,0.000124452464714393,4.2886560828259e-05,2010,6
